CensusTract,State,County,Urban,POP2010,LA1and10,LAPOP1_10
40023967100,Oklahoma,Choctaw,1,3676,1,1673.880902
40023967200,Oklahoma,Choctaw,1,2393,1,2392.99998
40023967300,Oklahoma,Choctaw,0,3291,1,2990.267467
40025950100,Oklahoma,Cimarron,0,1163,1,998.5401167
40025950300,Oklahoma,Cimarron,0,1312,0,0
40027200100,Oklahoma,Cleveland,1,578,0,0
40027200200,Oklahoma,Cleveland,1,1786,0,0
40027200300,Oklahoma,Cleveland,1,3586,0,0
40027200400,Oklahoma,Cleveland,1,1922,0,0
40027200500,Oklahoma,Cleveland,1,3797,0,0
40027200601,Oklahoma,Cleveland,1,6203,0,0
40027200602,Oklahoma,Cleveland,1,3448,0,0
40027200700,Oklahoma,Cleveland,1,272,0,0
40027200800,Oklahoma,Cleveland,1,6574,1,1497.780345
40027200900,Oklahoma,Cleveland,1,3946,0,0
40027201000,Oklahoma,Cleveland,1,5774,0,0
40027201101,Oklahoma,Cleveland,1,5464,1,3080.09104
40027201102,Oklahoma,Cleveland,1,2783,1,912.6713652
40027201201,Oklahoma,Cleveland,1,2121,0,17.9484818
40027201202,Oklahoma,Cleveland,1,4771,1,2183.222168
40027201203,Oklahoma,Cleveland,1,5396,1,2547.316767
40027201301,Oklahoma,Cleveland,1,7499,0,0
40027201403,Oklahoma,Cleveland,1,4966,1,4866.305597
40027201404,Oklahoma,Cleveland,1,2328,1,2137.172892
40027201405,Oklahoma,Cleveland,1,5378,1,2453.296671
40027201505,Oklahoma,Cleveland,1,5522,1,521.8758495
40027201507,Oklahoma,Cleveland,1,6318,1,1394.550343
40027201508,Oklahoma,Cleveland,1,3028,1,1315.898644
40027201509,Oklahoma,Cleveland,1,2364,1,1058.61583
40027201510,Oklahoma,Cleveland,1,6640,1,6497.282189
40027201602,Oklahoma,Cleveland,1,2713,0,0
40027201603,Oklahoma,Cleveland,1,3895,0,0
40027201604,Oklahoma,Cleveland,1,3671,0,0
40027201607,Oklahoma,Cleveland,0,5181,0,0
40027201609,Oklahoma,Cleveland,1,4070,1,3616.248002
40027201610,Oklahoma,Cleveland,1,3708,1,3381.545193
40027201611,Oklahoma,Cleveland,1,2214,1,548.7266769
40027201612,Oklahoma,Cleveland,1,5074,1,865.5582911
40027201700,Oklahoma,Cleveland,0,1701,0,0
40027201801,Oklahoma,Cleveland,1,4143,0,108.5702715
40027201802,Oklahoma,Cleveland,1,3435,0,0
40027201902,Oklahoma,Cleveland,1,4230,0,0
40027201903,Oklahoma,Cleveland,1,2926,0,33.94810177
40027201904,Oklahoma,Cleveland,1,4598,1,579.1638483
40027202002,Oklahoma,Cleveland,1,4244,1,2911.709242
40027202004,Oklahoma,Cleveland,1,3588,0,0
40027202005,Oklahoma,Cleveland,1,6173,0,0
40027202006,Oklahoma,Cleveland,1,2854,0,2.268063307
40027202007,Oklahoma,Cleveland,1,3607,1,3607.000012
40027202008,Oklahoma,Cleveland,1,3825,1,1306.130651
40027202102,Oklahoma,Cleveland,1,2454,0,0
40027202104,Oklahoma,Cleveland,1,2338,0,0
40027202105,Oklahoma,Cleveland,1,4374,1,1300.820496
40027202106,Oklahoma,Cleveland,1,6183,1,1466.60097
40027202107,Oklahoma,Cleveland,1,2264,1,2264.000006
40027202201,Oklahoma,Cleveland,0,3192,0,0
40027202203,Oklahoma,Cleveland,1,3713,1,3265.399355
40027202205,Oklahoma,Cleveland,1,6445,1,5135.484388
40027202206,Oklahoma,Cleveland,1,2819,1,865.3213755
40027202301,Oklahoma,Cleveland,0,5409,0,0
40027202302,Oklahoma,Cleveland,0,5986,0,0
40027202402,Oklahoma,Cleveland,0,6212,0,0
40027202403,Oklahoma,Cleveland,0,5259,0,0
40027202404,Oklahoma,Cleveland,0,4397,0,0
40027202405,Oklahoma,Cleveland,0,7006,1,1269.717807
40027202500,Oklahoma,Cleveland,1,6720,1,2839.786104
40027202600,Oklahoma,Cleveland,1,2670,1,2661.237222
40029388100,Oklahoma,Coal,0,4017,0,139.7468226
40029388200,Oklahoma,Coal,0,1908,1,1478.412091
40031000100,Oklahoma,Comanche,1,4042,1,3449.400264
40031000200,Oklahoma,Comanche,1,2998,1,2487.524707
40031000300,Oklahoma,Comanche,1,5830,1,4839.680235
40031000401,Oklahoma,Comanche,1,6450,0,25.19719863
40031000402,Oklahoma,Comanche,1,4018,0,0
40031000403,Oklahoma,Comanche,1,4769,1,715.8170946
40031000501,Oklahoma,Comanche,1,7888,1,5025.481563
40031000502,Oklahoma,Comanche,0,6958,0,0
40031000600,Oklahoma,Comanche,1,2509,1,550.660003
40031000700,Oklahoma,Comanche,1,2809,0,3.570222855
40031000800,Oklahoma,Comanche,1,2430,0,491.4731951
40031000900,Oklahoma,Comanche,1,2024,0,0
40031001000,Oklahoma,Comanche,1,2074,0,0
40031001100,Oklahoma,Comanche,1,1909,0,0
40031001400,Oklahoma,Comanche,1,1534,0,0
40031001500,Oklahoma,Comanche,1,2909,0,0
40031001600,Oklahoma,Comanche,1,2050,0,45.57742497
40031001700,Oklahoma,Comanche,1,2545,0,25.40775297
40031001901,Oklahoma,Comanche,1,1762,1,1761.999977
40031001902,Oklahoma,Comanche,1,1862,1,1784.530979
40031002001,Oklahoma,Comanche,1,5037,1,5027.524125
40031002003,Oklahoma,Comanche,0,2091,0,187.4895056
40031002004,Oklahoma,Comanche,0,4086,0,0
40031002005,Oklahoma,Comanche,0,5774,0,0
40031002100,Oklahoma,Comanche,0,6966,0,295.217087
40031002200,Oklahoma,Comanche,0,5940,1,913.6640438
40031002301,Oklahoma,Comanche,0,5919,1,778.7020378
40031002302,Oklahoma,Comanche,0,4906,0,52.15677132
40031002401,Oklahoma,Comanche,0,137,0,0
40031002403,Oklahoma,Comanche,1,4308,1,4308.000078
40031002404,Oklahoma,Comanche,1,6551,1,6551.000017
40031002500,Oklahoma,Comanche,1,3013,0,0
40033871100,Oklahoma,Cotton,1,3794,1,3793.999999
40033871200,Oklahoma,Cotton,0,2399,1,1411.766539
40035373100,Oklahoma,Craig,0,3061,1,2135.600751
40035373200,Oklahoma,Craig,0,2718,0,251.9837245
40035373300,Oklahoma,Craig,1,4028,1,1286.852644
40035373400,Oklahoma,Craig,1,2874,0,343.0636641
40035373500,Oklahoma,Craig,0,2348,0,6.212530918
40037020101,Oklahoma,Creek,1,2051,1,2051.00001
40037020102,Oklahoma,Creek,0,1454,0,0
40037020103,Oklahoma,Creek,0,2891,0,0
40037020601,Oklahoma,Creek,0,5643,0,0
40037020602,Oklahoma,Creek,1,3208,0,8.993108928
40037020702,Oklahoma,Creek,0,3741,0,80.65311849
40037020704,Oklahoma,Creek,0,1619,0,0
40037020705,Oklahoma,Creek,0,2924,0,0
40037020706,Oklahoma,Creek,0,5160,0,2.750066867
40037020707,Oklahoma,Creek,0,2088,0,0
40037020800,Oklahoma,Creek,0,3443,0,0
40037020900,Oklahoma,Creek,0,2838,0,0
40037021000,Oklahoma,Creek,1,3737,1,1031.388787
40037021101,Oklahoma,Creek,0,3204,0,464.6310124
40037021102,Oklahoma,Creek,0,3662,0,74.67293757
40037021201,Oklahoma,Creek,0,1919,0,0
40037021202,Oklahoma,Creek,0,3989,0,0
40037021300,Oklahoma,Creek,1,2268,1,720.2121972
40037021400,Oklahoma,Creek,1,6177,1,5907.597273
40037021500,Oklahoma,Creek,0,5379,0,0
40037021600,Oklahoma,Creek,1,2572,1,953.3897865
40039950800,Oklahoma,Custer,1,3916,1,544.2347605
40039960400,Oklahoma,Custer,1,7209,1,2784.678685
40039960600,Oklahoma,Custer,1,5377,1,3878.250966
40039960700,Oklahoma,Custer,1,7611,1,3995.540802
40039961000,Oklahoma,Custer,0,3356,1,3179.536374
40041375601,Oklahoma,Delaware,0,3303,0,0
40041375602,Oklahoma,Delaware,0,3140,0,0
40041375700,Oklahoma,Delaware,1,7657,1,3791.549039
40041375801,Oklahoma,Delaware,0,3497,0,219.8365005
40041375802,Oklahoma,Delaware,0,3404,0,0
40041375900,Oklahoma,Delaware,0,4144,0,0
40041376000,Oklahoma,Delaware,0,5542,0,40.45406562
40041376100,Oklahoma,Delaware,0,5017,1,3985.655028
40041976200,Oklahoma,Delaware,0,5783,1,700.6981416
40043959100,Oklahoma,Dewey,0,1964,1,1963.999997
40043959200,Oklahoma,Dewey,0,1543,1,1543.000004
40043959300,Oklahoma,Dewey,0,1303,1,1302.999998
40045952600,Oklahoma,Ellis,0,2971,1,2952.153329
40045952800,Oklahoma,Ellis,0,1180,1,1179.999999
40047000100,Oklahoma,Garfield,1,5810,0,271.0997414
40047000200,Oklahoma,Garfield,1,2531,1,1616.916425
40047000600,Oklahoma,Garfield,1,6480,1,854.9050446
40047000700,Oklahoma,Garfield,1,6506,0,169.5618811
40047001100,Oklahoma,Garfield,0,3398,1,1774.980883
40047001200,Oklahoma,Garfield,0,3851,1,1269.371299
40047001300,Oklahoma,Garfield,1,7838,1,3011.883687
40047001401,Oklahoma,Garfield,1,3339,0,289.0953037
40047001402,Oklahoma,Garfield,1,4471,0,0
40047001500,Oklahoma,Garfield,0,6498,0,26.00816004
40047001601,Oklahoma,Garfield,1,5625,1,3029.714215
40047001602,Oklahoma,Garfield,0,4233,0,0.039639272
40049681100,Oklahoma,Garvin,0,3230,1,2640.26313
40049681200,Oklahoma,Garvin,0,3628,0,24.30595118
40049681300,Oklahoma,Garvin,1,2884,0,175.7338244
40049681400,Oklahoma,Garvin,0,5121,0,0
40049681500,Oklahoma,Garvin,0,2609,0,0
40049681600,Oklahoma,Garvin,0,2109,0,0
40049681700,Oklahoma,Garvin,0,1861,0,5.86269671
40049681800,Oklahoma,Garvin,1,2938,1,1064.843354
40049681900,Oklahoma,Garvin,0,3196,0,29.97398857
40051000100,Oklahoma,Grady,1,1275,0,291.753615
40051000400,Oklahoma,Grady,1,3277,1,1209.237583
40051000500,Oklahoma,Grady,1,6509,1,2952.80463
40051000600,Oklahoma,Grady,0,5369,0,256.066233
40051000700,Oklahoma,Grady,0,7465,1,1144.390928
40051000800,Oklahoma,Grady,0,6981,0,19.03963708
40051000901,Oklahoma,Grady,0,2534,1,589.8903137
40051000902,Oklahoma,Grady,0,5749,0,0
40051000903,Oklahoma,Grady,1,9327,1,9321.434743
40051001000,Oklahoma,Grady,1,3945,0,5.669574261
40053956400,Oklahoma,Grant,0,1475,1,1458.608396
40053956500,Oklahoma,Grant,0,3052,1,1499.344122
40055967100,Oklahoma,Greer,0,2626,0,431.2506468
40055967200,Oklahoma,Greer,1,3613,1,629.3315537
40057967800,Oklahoma,Harmon,0,2922,0,242.1644219
40059952100,Oklahoma,Harper,0,1718,1,1717.419606
40059952200,Oklahoma,Harper,0,1967,0,185.7611649
40061279100,Oklahoma,Haskell,0,2108,1,1672.788895
40061279200,Oklahoma,Haskell,0,4293,0,38.66193558
40061279300,Oklahoma,Haskell,0,3646,1,2259.643362
40061279400,Oklahoma,Haskell,0,2722,1,874.2155503
40063484600,Oklahoma,Hughes,0,2788,1,585.0049433
40063484700,Oklahoma,Hughes,0,2504,0,405.7101439
40063484800,Oklahoma,Hughes,0,3713,0,0
40063484900,Oklahoma,Hughes,1,2554,0,58.706974
40063485000,Oklahoma,Hughes,0,2444,1,2257.723673
40065968100,Oklahoma,Jackson,0,2445,1,708.4949842
40065968200,Oklahoma,Jackson,0,1662,0,0
40065968300,Oklahoma,Jackson,0,2043,1,1238.219585
40065968400,Oklahoma,Jackson,1,5795,1,1177.249402
40065968500,Oklahoma,Jackson,1,4117,1,3967.736961
40065968600,Oklahoma,Jackson,1,4669,1,621.6686033
40065968700,Oklahoma,Jackson,1,2037,0,244.9901089
40065968800,Oklahoma,Jackson,1,3678,1,1068.458152
40067371600,Oklahoma,Jefferson,0,1950,0,303.2048403
40067371700,Oklahoma,Jefferson,0,1687,1,1168.204968
40067371800,Oklahoma,Jefferson,0,2835,0,36.49787114
40069660198,Oklahoma,Johnston,0,3079,1,2071.647618
40069660200,Oklahoma,Johnston,0,5178,0,485.2307725
40069660300,Oklahoma,Johnston,0,2700,1,1366.978619
40071000100,Oklahoma,Kay,1,5837,1,4261.715344
40071000201,Oklahoma,Kay,1,3172,0,291.4985909
40071000202,Oklahoma,Kay,1,5106,0,407.3743207
40071000300,Oklahoma,Kay,1,4301,1,1373.219179
40071000400,Oklahoma,Kay,1,2438,0,6.45172829
40071000500,Oklahoma,Kay,1,4304,1,3794.147017
40071000600,Oklahoma,Kay,1,3797,1,3796.452846
40071001100,Oklahoma,Kay,1,3978,1,2329.40301
40071001200,Oklahoma,Kay,0,4875,1,564.3956191
40071001301,Oklahoma,Kay,1,4148,1,1605.557142
40071001302,Oklahoma,Kay,0,4606,0,161.530864
40073958100,Oklahoma,Kingfisher,0,4333,0,179.7314571
40073958200,Oklahoma,Kingfisher,0,2393,1,557.6268799
40073958300,Oklahoma,Kingfisher,1,5618,1,1206.700546
40073958400,Oklahoma,Kingfisher,0,2690,1,810.7771933
40075963600,Oklahoma,Kiowa,0,1612,1,1609.755488
40075963700,Oklahoma,Kiowa,1,4166,0,459.0781559
40075964200,Oklahoma,Kiowa,0,3668,1,3022.823546
40077087100,Oklahoma,Latimer,0,2320,1,1664.105405
40077087200,Oklahoma,Latimer,0,5960,0,0.078155007
40077087300,Oklahoma,Latimer,0,2874,1,776.3576493
40079040102,Oklahoma,Le Flore,0,4398,0,0
40079040198,Oklahoma,Le Flore,1,2082,1,1767.791782
40079040299,Oklahoma,Le Flore,0,3734,0,78.20943151
40079040301,Oklahoma,Le Flore,0,6116,0,359.8766432
40079040302,Oklahoma,Le Flore,0,3806,0,175.2171992
40079040303,Oklahoma,Le Flore,0,3843,0,0
40079040401,Oklahoma,Le Flore,1,4779,1,856.1507388
40079040402,Oklahoma,Le Flore,1,3981,1,1121.496009
40079040500,Oklahoma,Le Flore,0,5153,1,1450.844629
40079040601,Oklahoma,Le Flore,0,3928,0,177.2832522
40079040602,Oklahoma,Le Flore,0,5387,1,785.9314748
40079040700,Oklahoma,Le Flore,0,3177,1,1337.780572
40081961100,Oklahoma,Lincoln,0,4731,0,14.05109054
40081961200,Oklahoma,Lincoln,0,4140,1,1362.675199
40081961300,Oklahoma,Lincoln,0,4319,0,39.99867288
40081961400,Oklahoma,Lincoln,0,7782,0,43.43596663
40081961500,Oklahoma,Lincoln,0,5061,0,0
40081961600,Oklahoma,Lincoln,0,3018,0,0
40081961700,Oklahoma,Lincoln,1,5222,1,3432.12963
40083600100,Oklahoma,Logan,1,4525,1,930.1447681
40083600200,Oklahoma,Logan,1,2760,1,1676.007916
40083600300,Oklahoma,Logan,0,2199,0,0
40083600400,Oklahoma,Logan,1,8379,1,8379.00003
40083600500,Oklahoma,Logan,0,7281,0,1.148024909
40083600600,Oklahoma,Logan,0,4338,1,1987.327792
40083600700,Oklahoma,Logan,0,4662,1,1055.474351
40083600800,Oklahoma,Logan,1,7704,1,7704.000065
40085094100,Oklahoma,Love,0,2865,0,0
40085094200,Oklahoma,Love,0,4640,0,300.9351573
40085094300,Oklahoma,Love,0,1918,1,1610.110124
40087400101,Oklahoma,McClain,0,6671,0,0
40087400102,Oklahoma,McClain,0,9323,0,64.79343605
40087400201,Oklahoma,McClain,0,3676,0,42.43998202
40087400202,Oklahoma,McClain,0,7996,1,641.6564021
40087400300,Oklahoma,McClain,1,5497,1,2145.827414
40087400400,Oklahoma,McClain,0,1343,1,1063.834639
40089098200,Oklahoma,McCurtain,0,2698,1,2601.959076
40089098300,Oklahoma,McCurtain,0,1788,0,443.3921701
40089098400,Oklahoma,McCurtain,0,4339,0,180.1827988
40089098500,Oklahoma,McCurtain,0,5972,0,436.8101858
40089098600,Oklahoma,McCurtain,1,5619,1,2330.523147
40089098700,Oklahoma,McCurtain,0,4329,0,1.139383771
40089098800,Oklahoma,McCurtain,1,5682,1,2175.142365
40089098900,Oklahoma,McCurtain,0,2724,1,1024.012761
40091779600,Oklahoma,McIntosh,0,4695,0,136.1155189
40091779700,Oklahoma,McIntosh,1,3616,1,503.9166375
40091779900,Oklahoma,McIntosh,0,2932,1,1426.519381
40091780100,Oklahoma,McIntosh,0,2394,0,192.1119663
40091780200,Oklahoma,McIntosh,0,3147,0,0
40091780300,Oklahoma,McIntosh,0,3468,1,648.0597143
40093955100,Oklahoma,Major,0,3151,0,486.2474866
40093955200,Oklahoma,Major,0,1584,1,872.8860535
40093955300,Oklahoma,Major,0,2792,0,0
40095094698,Oklahoma,Marshall,0,3734,1,712.6333723
40095094700,Oklahoma,Marshall,1,4873,1,3786.094841
40095094801,Oklahoma,Marshall,0,3512,0,134.1581565
40095094802,Oklahoma,Marshall,0,3721,0,0
40097040100,Oklahoma,Mayes,1,4809,1,3363.234316
40097040200,Oklahoma,Mayes,1,4730,1,1123.668356
40097040300,Oklahoma,Mayes,0,3696,0,0
40097040400,Oklahoma,Mayes,0,5633,0,0
40097040501,Oklahoma,Mayes,0,3326,0,0
40097040502,Oklahoma,Mayes,0,4220,0,0
40097040600,Oklahoma,Mayes,0,4574,0,0
40097040700,Oklahoma,Mayes,0,3924,0,0
40097040800,Oklahoma,Mayes,0,6347,1,703.8221156
40099790600,Oklahoma,Murray,0,2035,0,42.31002331
40099790700,Oklahoma,Murray,0,5313,0,91.72857684
40099790800,Oklahoma,Murray,1,6140,1,1981.34803
40101000100,Oklahoma,Muskogee,1,4774,1,809.071693
40101000200,Oklahoma,Muskogee,1,1680,1,548.6896883
40101000300,Oklahoma,Muskogee,1,3340,1,545.9171983
40101000400,Oklahoma,Muskogee,1,1844,0,155.6649254
40101000600,Oklahoma,Muskogee,1,3911,1,3006.589186
40101000700,Oklahoma,Muskogee,1,5345,0,32.05882262
40101000801,Oklahoma,Muskogee,1,5364,0,0
40101000802,Oklahoma,Muskogee,1,2581,0,303.8338757
40101000900,Oklahoma,Muskogee,1,7819,1,2710.439668
40101001000,Oklahoma,Muskogee,1,1733,1,1581.607271
40101001100,Oklahoma,Muskogee,0,3174,0,404.4649783
40101001200,Oklahoma,Muskogee,0,4600,0,35.85682934
40101001300,Oklahoma,Muskogee,0,6320,0,0
40101001400,Oklahoma,Muskogee,0,7207,0,0
40101001500,Oklahoma,Muskogee,0,6699,0,258.2909058
40101001600,Oklahoma,Muskogee,0,4599,1,647.6056499
40103956600,Oklahoma,Noble,0,3084,1,2269.843354
40103956900,Oklahoma,Noble,1,3802,0,371.0760952
40103957000,Oklahoma,Noble,1,1815,0,447.3562903
40103957100,Oklahoma,Noble,0,2860,1,750.4319799
40105172100,Oklahoma,Nowata,0,2220,0,221.7933812
40105172200,Oklahoma,Nowata,0,1682,1,554.3371073
40105172300,Oklahoma,Nowata,0,2122,0,72.35064324
40105172400,Oklahoma,Nowata,1,4512,1,1776.559788
40107080600,Oklahoma,Okfuskee,0,2942,1,787.9145762
40107080700,Oklahoma,Okfuskee,0,3278,1,1538.685955
40107080900,Oklahoma,Okfuskee,1,3651,0,421.150094
40107081000,Oklahoma,Okfuskee,0,2320,0,109.6651107
40109100100,Oklahoma,Oklahoma,1,3393,0,47.98520374
40109100200,Oklahoma,Oklahoma,1,6378,0,122.663111
40109100300,Oklahoma,Oklahoma,1,2648,1,968.2556017
40109100400,Oklahoma,Oklahoma,1,2370,0,74.64196894
40109100500,Oklahoma,Oklahoma,1,1909,0,177.9650594
40109100600,Oklahoma,Oklahoma,1,727,1,727.0000022
40109100700,Oklahoma,Oklahoma,1,1429,1,1106.292387
40109100800,Oklahoma,Oklahoma,1,2405,0,330.200628
40109100900,Oklahoma,Oklahoma,1,1516,0,0
40109101000,Oklahoma,Oklahoma,1,2964,0,0
40109101100,Oklahoma,Oklahoma,1,838,0,130.6633282
40109101200,Oklahoma,Oklahoma,1,1196,1,710.2030778
40109101300,Oklahoma,Oklahoma,1,2895,0,0
40109101400,Oklahoma,Oklahoma,1,1062,0,0
40109101500,Oklahoma,Oklahoma,1,1656,0,0
40109101600,Oklahoma,Oklahoma,1,466,0,0
40109101700,Oklahoma,Oklahoma,1,1199,0,0
40109101800,Oklahoma,Oklahoma,1,1416,0,0
40109101900,Oklahoma,Oklahoma,1,2793,0,0
40109102000,Oklahoma,Oklahoma,1,3022,0,0
40109102100,Oklahoma,Oklahoma,1,2148,0,0
40109102200,Oklahoma,Oklahoma,1,2787,0,0
40109102300,Oklahoma,Oklahoma,1,3495,0,0
40109102400,Oklahoma,Oklahoma,1,3389,0,0
40109102500,Oklahoma,Oklahoma,1,542,0,0
40109102600,Oklahoma,Oklahoma,1,437,0,0
40109102700,Oklahoma,Oklahoma,1,130,0,0
40109102800,Oklahoma,Oklahoma,1,2615,0,0
40109102900,Oklahoma,Oklahoma,1,607,0,0
40109103000,Oklahoma,Oklahoma,1,358,0,0
40109103200,Oklahoma,Oklahoma,1,3498,0,0
40109103300,Oklahoma,Oklahoma,1,1704,0,0
40109103400,Oklahoma,Oklahoma,1,373,1,250.9014202
40109103500,Oklahoma,Oklahoma,1,351,1,137
40109103601,Oklahoma,Oklahoma,1,226,0,0
40109103602,Oklahoma,Oklahoma,1,704,0,7.511129022
40109103700,Oklahoma,Oklahoma,1,514,0,93.43533039
40109103800,Oklahoma,Oklahoma,1,467,0,0.031567559
40109103900,Oklahoma,Oklahoma,1,3960,1,2146.101123
40109104000,Oklahoma,Oklahoma,1,227,1,155.5681491
40109104100,Oklahoma,Oklahoma,1,3145,0,384.3107912
40109104200,Oklahoma,Oklahoma,1,2379,0,0
40109104300,Oklahoma,Oklahoma,1,3372,0,0
40109104400,Oklahoma,Oklahoma,1,3729,0,0
40109104500,Oklahoma,Oklahoma,1,3639,0,0
40109104600,Oklahoma,Oklahoma,1,1076,0,0
40109104700,Oklahoma,Oklahoma,1,1258,0,0
40109104800,Oklahoma,Oklahoma,1,3221,0,0
40109104900,Oklahoma,Oklahoma,1,3861,0,0
40109105000,Oklahoma,Oklahoma,1,2486,0,0
40109105100,Oklahoma,Oklahoma,1,1661,1,645.7789329
40109105201,Oklahoma,Oklahoma,1,1505,1,1504.999996
40109105202,Oklahoma,Oklahoma,1,1156,1,1156.000001
40109105300,Oklahoma,Oklahoma,1,3109,1,2152.379391
40109105400,Oklahoma,Oklahoma,1,1796,0,0
40109105500,Oklahoma,Oklahoma,1,3414,0,0
